projection,rank,runs,explained_residual_variance_mean,explained_residual_variance_std,centered_relative_frobenius_error_mean,centered_relative_frobenius_error_std,original_relative_frobenius_error_mean,original_relative_frobenius_error_std,mean_expert_relative_error_mean,mean_expert_relative_error_std,p95_expert_relative_error_mean,p95_expert_relative_error_std,max_expert_relative_error_mean,max_expert_relative_error_std,parameter_ratio_no_residual,compression_factor_no_residual
down,0,3,0.0,0.0,1.0,0.0,0.9921514375173648,2.984578712412652e-05,0.9921683616021505,2.939674588293959e-05,0.9930291324883717,0.0001173486542196236,0.9934511667429438,0.0001028663323603117,0.015625,64.0
down,1,3,0.017560595005557324,4.4893661530627246e-05,0.9911808132992359,2.2646453636013315e-05,0.9834014691627875,5.0839333492087094e-05,0.9800172821336016,0.00012045552542993284,0.9928987244976497,0.00010333455863568137,0.9932177835182924,0.00014139645885631938,0.0312504768371582,31.999511726200467
down,2,3,0.03466012019052347,0.00011377084644130412,0.982517113120542,5.78975716154669e-05,0.9748057670768749,8.25699848684729e-05,0.9710620247677015,0.000389767829897488,0.9927551116039872,0.00019237799544995153,0.9932023410734584,0.00016038888595516456,0.046875953674316406,21.332899314385692
down,3,3,0.05169171145350562,0.00011399427183007668,0.973811216952584,5.85297578306282e-05,0.9661681997199737,8.348906674309117e-05,0.9615601751287087,0.0009484702539398274,0.9924769438816106,0.00025814996468052003,0.9931111945483501,0.0002555951034180462,0.06250143051147461,15.999633797444211
down,4,3,0.06866817901011456,0.00010574585567642705,0.9650553450392265,5.4787381767572297e-05,0.9574810487274282,7.914041729367529e-05,0.952248497471651,0.000638593268278537,0.9923053851146805,0.00019089908328995565,0.9929570351990997,0.00018717510996904552,0.07812690734863281,12.799687507629208
down,5,3,0.08557837776806719,0.000126649285752831,0.9562539512641774,6.622213602224839e-05,0.9487487332666693,8.751946429341921e-05,0.9425773616899189,0.0007572317780567497,0.9919160123588897,0.00023348639173290125,0.9928824727340732,0.00022145981409736864,0.09375238418579102,10.666395406204066
down,6,3,0.10242257125019007,0.00013518957760618136,0.9474056287335944,7.134822535952147e-05,0.9399698573301268,9.090694626022771e-05,0.9329015876802398,0.0002618545440718093,0.9916406380513214,0.00041081013175827194,0.99276365380596,0.0003229446983159564,0.10937786102294922,9.142617990949596
down,7,3,0.1192248994527948,0.0001504144137219806,0.9384961887327442,8.013724545252237e-05,0.9311303436931487,9.861407392881774e-05,0.9230731303304022,0.0007627609649247968,0.9914968800733077,0.00042906240946760324,0.9924320959627967,0.0005619059485098414,0.12500333786010742,7.999786382657324
down,8,3,0.13597127312955248,0.00013805583049772413,0.9295314535796679,7.426153505769565e-05,0.9222359689208713,9.518233536948274e-05,0.912768837277409,0.0010519972434086527,0.9912457938387641,0.000495151466243559,0.9920722042193143,0.0005641587241148951,0.14062881469726562,7.110918215109182
down,12,3,0.20264625469299238,0.00014294207616687832,0.8929466619212473,8.00378917263402e-05,0.8859383157310491,0.0001046366049799355,0.8704296047984773,0.0013685519268034178,0.9898093017378949,0.000675465212119992,0.9911965415831917,0.00035769568940030615,0.20313072204589844,4.922938243551583
down,16,3,0.2688281729969896,0.00013896904734707186,0.8550858568592825,8.1261032758071e-05,0.8483746632118147,0.0001001137473566285,0.826107095659624,0.002480948180349261,0.9881558595259978,0.0003502885305775322,0.9902671427059934,0.0001579652466390703,0.26563262939453125,3.7645977539707616
down,24,3,0.3994983070405829,0.00013552278853960087,0.7749204396978878,8.744583243349545e-05,0.7688384287211129,9.615561377088082e-05,0.7287177793712712,0.002738241463840406,0.9856607189471878,0.0005682785364843566,0.9887963091663403,0.0002789943020389741,0.3906364440917969,2.5599250021972013
down,32,3,0.5281246375035303,0.00020852200277676007,0.6869318358765746,0.00015176812140140376,0.6815404065109817,0.0001383701466991774,0.6189040544616461,0.001370080601904609,0.9821400296298681,0.0006907609357922276,0.9846754317047518,0.0013570581452115504,0.5156402587890625,1.9393365489894356
down,48,3,0.7780573719112466,0.00016647013282089515,0.4711078510000915,0.00017669817047769043,0.4674103280952098,0.00016132127438352108,0.34658148757454715,0.0022908685679014036,0.966095329881393,0.0035163077157460906,0.9749256572125269,0.003217244712429033,0.7656478881835938,1.3060834039160978
down,63,3,1.0,2.5639502485114184e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000300407409668,0.9999699601614522
gate,0,3,0.0,0.0,1.0,0.0,0.9899343885746438,5.894648171596012e-05,0.9900670307866234,5.5772451623877056e-05,0.9926901319464704,5.813999524760151e-05,0.9930142998689596,0.0002124955715636989,0.015625,64.0
gate,1,3,0.019956132204287554,8.878696058880134e-06,0.9899716499891834,4.48431777143416e-06,0.980006980094947,5.9930468546242444e-05,0.9766610260421498,0.0001140714091307244,0.9924299370463529,0.00010426600462829827,0.9929249811120817,0.00022289111429314775,0.0312504768371582,31.999511726200467
gate,2,3,0.03887244849306359,2.1195030524211146e-05,0.9803711294346836,1.0809664405903253e-05,0.9705030950031674,6.817560776551174e-05,0.967176859478828,0.00045611878751545556,0.9923208541904218,2.3539959870821362e-05,0.9928824675727236,0.00022182646597725483,0.046875953674316406,21.332899314385692
gate,3,3,0.057675896585743215,5.70766920092891e-05,0.9707337960728847,2.9398564365994962e-05,0.9609627680358396,8.626426647355516e-05,0.9572629878431553,0.0005375296450945555,0.9922165174433957,4.7686492527886304e-05,0.9927564191584026,0.00031051767844388506,0.06250143051147461,15.999633797444211
gate,4,3,0.07641327274187247,0.00012090286487639601,0.96103419534387,6.290335420553603e-05,0.951360800803688,0.00011606114159206137,0.946019061274599,0.0006136456509633965,0.9921639209532875,3.331921513803329e-05,0.9927136874184654,0.00029649814490188353,0.07812690734863281,12.799687507629208
gate,5,3,0.09503423029747322,0.0001649844094774943,0.9512968856719906,8.67176311545273e-05,0.9417215037630372,0.00013669274858400872,0.93364811219993,0.0015279100451483717,0.992134481724405,6.168344464053527e-05,0.9926761381554922,0.0002713036042257155,0.09375238418579102,10.666395406204066
gate,6,3,0.11356430740089889,0.0001749247547776339,0.9415071358442636,9.289859399113661e-05,0.9320302939539306,0.0001420777531465704,0.9212241207651366,0.0015141275632827033,0.9920249791707404,4.8978071963791484e-05,0.9924464755105632,0.00022759711269817578,0.10937786102294922,9.142617990949596
gate,7,3,0.13203201881770482,0.00022162476941097652,0.9316479870371296,0.00011894511082161887,0.922270384733349,0.00016979388471475795,0.9072008447914596,0.0012837097846141866,0.9918272023896405,3.615796962190825e-05,0.9923449312524366,0.00014232340339274572,0.12500333786010742,7.999786382657324
gate,8,3,0.15037109557755526,0.0001714294046260784,0.921753165797362,9.299181915757344e-05,0.9124751601198113,0.00014512326269153577,0.8936025222608714,0.0012658629817538525,0.9917665756397347,2.257907687413536e-05,0.9922491379033329,0.00022386815546731982,0.14062881469726562,7.110918215109182
gate,12,3,0.22242657330050417,0.00024107928835635705,0.8818012328416133,0.00013670318372955656,0.872925368467302,0.0001788478809345554,0.8433193829588473,0.0013924326720133149,0.9910832213599979,0.00016211539231548162,0.9921025350883254,0.00033742267646292575,0.20313072204589844,4.922938243551583
gate,16,3,0.29304403121018713,0.00026880365777297115,0.8408067267537588,0.0001598535705745644,0.8323434962845662,0.00018921221375003063,0.7817743784513537,0.001223457359692504,0.9904788213202389,0.00012493293299190584,0.9916626385318335,0.0002560032135813514,0.26563262939453125,3.7645977539707616
gate,24,3,0.42802732491942885,0.0004091228597037078,0.7562887188766966,0.0002705006922489022,0.7486762167487679,0.00029615231628562225,0.6612761453602772,0.0015117211790007066,0.9888430315408215,0.0005263514773196868,0.9902040005671179,0.00037544665287874633,0.3906364440917969,2.5599250021972013
