projection,rank,explained_residual_variance,centered_relative_frobenius_error,original_relative_frobenius_error,parameter_ratio_no_residual,compression_factor_no_residual,mean_expert_relative_error,median_expert_relative_error,p95_expert_relative_error,max_expert_relative_error
gate,0,0.0,1.0,0.9899233014239934,0.015625,64.0,0.9900579166472468,0.990649184968639,0.992703827776297,0.9932341866658921
gate,1,0.01994709133186281,0.989976216213368,0.9800005242851704,0.0312504768371582,31.999511726200467,0.9767625107289919,0.9904136018640783,0.9925403599152408,0.9931482145147291
gate,2,0.03888261118297976,0.9803659463776881,0.9704870942418587,0.046875953674316406,21.332899314385692,0.9667875184150801,0.9899828406228219,0.9922941879629551,0.993105386419005
gate,3,0.05769173489865097,0.9707256384279489,0.960943928769509,0.06250143051147461,15.999633797444211,0.9566661975894235,0.989854011337449,0.9922586973483964,0.9929962788179255
gate,4,0.076375195032257,0.9610540073105898,0.9513697557636577,0.07812690734863281,12.799687507629208,0.9464626391647585,0.989770530941515,0.9922023117846468,0.9929018635225586
gate,5,0.09496117654904652,0.9513352844559868,0.9417489655498044,0.09375238418579102,10.666395406204066,0.9319413830212304,0.9894144166201104,0.9921921867126651,0.9928683649287855
gate,6,0.11348634572189734,0.9415485405851908,0.9320608397470349,0.10937786102294922,9.142617990949596,0.9196579526164286,0.9887105499670629,0.9920749984200758,0.9922713621206183
gate,7,0.1319739820751209,0.9316791389340425,0.9222908890814508,0.12500333786010742,7.999786382657324,0.9059174067322825,0.9883012535768503,0.9917909569872853,0.9922101503808566
gate,8,0.1503495783651389,0.9217648407456541,0.9124764942874994,0.14062881469726562,7.110918215109182,0.8921547528092981,0.9871041720329066,0.9917427596582045,0.9922087479995911
gate,12,0.22229004054904672,0.8818786534727742,0.8729922281011144,0.20313072204589844,4.922938243551583,0.844919126935999,0.9854761786612223,0.9908960326535144,0.992059703022673
gate,16,0.29281100002520977,0.8409453014166797,0.8324713490953948,0.26563262939453125,3.7645977539707616,0.7824861936204763,0.9840743428973289,0.9903966751275639,0.9914553020969864
gate,24,0.42769519014436447,0.7565083012470092,0.7488851951250962,0.3906364440917969,2.5599250021972013,0.6621921757739697,0.968406656984824,0.9882688215733384,0.9897793083987783
gate,32,0.5549696046853428,0.6671059850688325,0.6603837591390439,0.5156402587890625,1.9393365489894356,0.5538379177448574,0.6268560003483798,0.9872747360545705,0.9886207440032578
